City,Title,Views,Likes,Comments,Publish_Date,Video_URL
San Salvador,Probando COMIDA CALLEJERA en El Salvador 🇸🇻🌽,18548259,370543,26682,2021-03-12T21:49:17Z,https://www.youtube.com/watch?v=u-O42mCpUkc
Tokyo,Best Japanese Street Food,16093205,733910,1902,2024-04-28T16:00:14Z,https://www.youtube.com/watch?v=HOuN1nwqksE
Tokyo,"JAPAN Street Food $100 CHALLENGE in Asakusa, Tokyo! The best Japanese Street Food in Tokyo!",12755995,158858,7685,2018-12-30T12:26:55Z,https://www.youtube.com/watch?v=An6cuIMTgxo
Seoul,Traditional Korean Street Food Tour at Gwangjang Market in Seoul!,8918086,100074,2813,2018-07-04T12:50:27Z,https://www.youtube.com/watch?v=ljf8yxDQ1d0
Bangkok,BEST 10 BANGKOK MICHELIN STREET FOOD & Price Guide / Thailand Michelin Guide,4177748,26534,244,2024-02-08T09:30:18Z,https://www.youtube.com/watch?v=ifEK87ZOt8w
Seoul,Trying Korea's Most Famous Street Foods – Ultimate Taste Test!,4101731,52147,260,2025-05-21T13:01:15Z,https://www.youtube.com/watch?v=cJgFErce-UQ
Seoul,Eating the BEST KOREAN STREET FOOD in SEOUL,3229198,58847,979,2024-02-03T16:23:56Z,https://www.youtube.com/watch?v=zPuLGkluoTY
Bangkok,"Thai Street Food Tour!! 🇹🇭 BEST FOOD at Chatuchak Weekend Market, Bangkok!",2543622,34436,985,2024-04-27T11:00:26Z,https://www.youtube.com/watch?v=bpd6uGHpoYY
Paris,I Ate The Best FRENCH FOOD in Paris for 24 Hours!! 🇫🇷,2481707,44151,2544,2025-05-10T11:01:11Z,https://www.youtube.com/watch?v=h13cCP9wCpw
Tokyo,18 BEST Local Japanese CHEAP EATS in Tokyo Japan,2142367,24150,499,2024-04-23T02:47:02Z,https://www.youtube.com/watch?v=y0-LwK9Ni9U
Bangkok,24 Hour Thai Street Food Challenge in Bangkok | Epic Food Journeys with Mark Wiens | Nat Geo,1883288,26806,913,2024-10-21T14:00:20Z,https://www.youtube.com/watch?v=MY3Qy6vAbZQ
Seoul,20 BEST Korean Cheap Eats in Seoul South Korea,1741788,19968,383,2024-02-25T18:45:49Z,https://www.youtube.com/watch?v=CRYd-KJtpV8
Tokyo,Everywhere you MUST eat in Tokyo! 🇯🇵🍙🍜,1676194,84706,360,2023-04-13T17:00:13Z,https://www.youtube.com/watch?v=SujQYYwqENE
Tokyo,How to Spend 5 Days in TOKYO - Japan Travel Itinerary,1618420,21672,640,2023-10-24T04:32:13Z,https://www.youtube.com/watch?v=0MQKLUkAUf8
Paris,We Tried 12 Street Food WHERE LOCALS EAT in Paris (Cheap Eats),1240615,25801,623,2021-09-24T16:29:35Z,https://www.youtube.com/watch?v=r62zdMEy7vM
Bangkok,Rating viral food spots in Bangkok 🇹🇭,1131963,77457,169,2024-07-21T13:00:47Z,https://www.youtube.com/watch?v=tuPT8IV9PrU
Paris,Everything I ate in 72 hours in Paris🇫🇷🥐🍫🤌🏻#paris #parisfood #parisfrance #parisrestaurants,1006905,63205,292,2025-01-13T14:55:55Z,https://www.youtube.com/watch?v=_SQD6IP3RSc
Paris,Paris Street Food!! 10 CHEAP EATS You Can't Miss!!,988022,20690,816,2025-05-31T11:01:15Z,https://www.youtube.com/watch?v=k0B7Va-te44
Bangkok,Top 7 Out of 100+ Dishes I Tried in Bangkok! 🇹🇭,812561,43195,78,2025-05-19T13:05:52Z,https://www.youtube.com/watch?v=JITefum7L6Y
Seoul,"4 MUST visit places in Seoul, South Korea 🇰🇷",807036,7091,73,2023-11-09T00:41:59Z,https://www.youtube.com/watch?v=h1FWZw2PQrY
Seoul,Top 10 BEST Korean STREET FOOD Markets in South Korea!,758862,7627,163,2024-10-12T17:40:15Z,https://www.youtube.com/watch?v=MDRNHpm2C60
